date,mbr_usd_bbl,mbr_eur_t
2015-01-01,6.987702,45.2530904
2015-02-01,7.0136415,46.3611128
2015-03-01,8.5030584,58.9056648
2015-04-01,7.1349448,49.6568101
2015-05-01,6.8461431,45.7429577
2015-06-01,8.1315025,54.3742617
2015-07-01,6.6306582,45.2089771
2015-08-01,8.0438407,54.2578437
2015-09-01,6.2778901,41.9648747
2015-10-01,4.2544819,28.4229053
2015-11-01,6.6356495,46.3797544
2015-12-01,4.5635692,31.4887817
2016-01-01,4.967507,34.5358073
2016-02-01,3.2492735,22.1149553
2016-03-01,2.9454255,20.0348024
2016-04-01,3.2511372,21.6471235
2016-05-01,3.056653,20.4027448
2016-06-01,3.7117626,24.9568387
2016-07-01,2.3095596,15.75384
2016-08-01,2.3291579,15.5801895
2016-09-01,3.3210216,22.2179101
2016-10-01,5.1661733,35.1643744
2016-11-01,5.9125483,41.0058696
2016-12-01,3.953751,28.1316374
2017-01-01,4.295834920634919,30.343617315314606
2017-02-01,4.741412466666669,33.41138298500697
2017-03-01,3.7886840869565215,26.590237550323458
2017-04-01,5.347353222222221,37.396920057807264
2017-05-01,4.534589777777777,30.80648219525395
2017-06-01,4.843371727272729,32.349848576899426
2017-07-01,5.52913161904762,35.98304640030978
2017-08-01,6.248056939393936,39.69251360349262
2017-09-01,7.244947873015874,45.57954871993261
2017-10-01,5.765571,36.775276387065
2017-11-01,5.291991848484858,33.81968294569059
2017-12-01,3.903910491228076,24.7279096087263
2018-01-01,3.6718368484848556,22.551748711046642
2018-02-01,3.411242833333337,20.698118679194074
2018-03-01,2.9893679365079446,18.17686986911663
2018-04-01,3.536296666666673,21.601281531453957
2018-05-01,4.598641873015885,29.807153291945895
2018-06-01,4.673118285714291,29.980422684510263
2018-07-01,4.817741151515161,30.923454257471953
2018-08-01,6.9920714242424316,45.46693948665232
2018-09-01,3.5985688333333394,23.183232024583624
2018-10-01,3.0363453623188503,19.856497805151374
2018-11-01,6.663979787878793,43.96176275462131
2018-12-01,4.686310823529415,30.88659011671372
2019-01-01,3.2478553636363645,21.327764321645546
2019-02-01,3.8060904166666716,25.144940206048723
2019-03-01,4.22020784126985,28.010766354594335
2019-04-01,3.600821166666678,24.02487384728832
2019-05-01,3.3620298241507514,22.08159212021277
2019-06-01,2.0819344444940313,13.819277425715603
2019-07-01,5.353634641517073,35.81107030186678
2019-08-01,5.93548047191656,39.975878354285705
2019-09-01,4.41119988958728,30.08050656065772
2019-10-01,7.020411817663782,47.636046062275675
2019-11-01,4.8628161612203895,32.97859401938064
2019-12-01,2.682888726641223,18.10597902495969
2020-01-01,4.126333694150759,27.8600018811694
2020-02-01,3.6121822765219997,24.805165793785733
